name,rating,pricing,review_count,street address,Is Closed,Contact#,latitude,longitude
Smalls Coffee,4.5,1.0,14,8 Cannon Street E,False,,43.26,-79.87
Pho Dui Bo,3.6,1.0,29,15 Cannon Street E,False,+19055250100,43.26,-79.87
Undefined,4.4,,9,35 King William Street,False,+19053938343,43.26,-79.87
Pho Hamilton,4.7,,6,115 Park Street N,False,+12893896668,43.26,-79.87
Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,+19054070459,43.26,-79.87
Diplomat,4.1,3.0,23,43 King William Street,False,+19055234343,43.26,-79.87
Green Bar,4.5,1.0,17,236 James Street N,False,+12893962288,43.26,-79.87
The Mule,3.9,2.0,181,41 King William Street,False,+12893892555,43.26,-79.87
The French,4.2,3.0,100,37 King William Street,False,+19055283737,43.26,-79.87
August 8,3.9,2.0,124,1 Wilson Street,False,+19055243838,43.26,-79.87
Berkeley North,4.3,3.0,41,31 King William Street,False,+19055225858,43.26,-79.87
Hambrgr,4.3,2.0,207,49 King William Street,False,+12893891212,43.26,-79.87
Saint James Espresso Bar & Eatery,4.4,2.0,57,170 James Street N,False,+12893896565,43.26,-79.87
The Burnt Tongue,4.2,1.0,89,10 Cannon St E,False,+19055361146,43.26,-79.87
Sagarmatha Curry Palace  Authentic Indian & Nepalese Cuisine,3.8,2.0,41,43 King William Street,False,+19055226999,43.26,-79.87
Charred Chicken,4.2,2.0,117,244 James Street N,False,+12893960662,43.26,-79.87
The Ship,4.1,2.0,207,23 Augusta Street,False,+19055260792,43.25,-79.87
Mesa,4.1,2.0,57,255 James Street N,False,+12892469696,43.26,-79.87
Mulberry Coffeehouse,4.2,2.0,76,193 James Street N,False,+19059631365,43.26,-79.87
Born and Raised,3.8,2.0,25,224 James Street N,False,+12897685233,43.26,-79.87
Smalls Coffee,4.5,1.0,14,8 Cannon Street E,False,,43.26,-79.87
Pho Dui Bo,3.6,1.0,29,15 Cannon Street E,False,+19055250100,43.26,-79.87
Undefined,4.4,,9,35 King William Street,False,+19053938343,43.26,-79.87
Pho Hamilton,4.7,,6,115 Park Street N,False,+12893896668,43.26,-79.87
Redchurch Cafe + Gallery,4.5,1.0,26,68 King Street E,False,+19054070459,43.26,-79.87
Diplomat,4.1,3.0,23,43 King William Street,False,+19055234343,43.26,-79.87
Green Bar,4.5,1.0,17,236 James Street N,False,+12893962288,43.26,-79.87
Bardō Locke Street,4.3,2.0,293,258 Locke Street S,False,+19055222999,43.25,-79.89
Durand Coffee,4.5,2.0,28,142 Charlton Avenue W,False,+19053939150,43.25,-79.88
The Ship,4.1,2.0,207,23 Augusta Street,False,+19055260792,43.25,-79.87
Berkeley North,4.3,3.0,41,31 King William Street,False,+19055225858,43.26,-79.87
Planted in Hamilton,4.5,2.0,37,211 Locke Street S,False,+12893896676,43.25,-79.89
The Burnt Tongue,4.4,2.0,41,182 Locke Street S,False,+12893891156,43.26,-79.89
Radius,3.2,3.0,94,151 James Street S,False,+19053931658,43.25,-79.87
The West Town Bar & Grill,3.3,2.0,48,214 Locke Street S,False,+19055701412,43.25,-79.89
Bronzie's Place,4.3,2.0,28,201 James Street S,False,+19055293403,43.25,-79.87
Bon Temps,4.9,,8,61 Young Street,False,+19055237177,43.25,-79.87
One Duke Tavern,3.6,2.0,24,1 Duke Street,False,+19055403853,43.25,-79.87
Tomah,5.0,,7,132 Queen Street S,False,+19055221919,43.26,-79.88
Kenzo,4.1,,24,21 King Street E,False,+19055776666,43.26,-79.87
Famous Recipe,4.9,,9,158 King Street W,False,+12893899740,43.26,-79.87
Amo Gelato Cafe,4.5,,12,171 Locke Street S,False,+12893965693,43.26,-79.89
Democracy,3.8,2.0,39,202 Locke Street S,False,+12893892466,43.25,-79.89
Relay Coffee Roasters,4.3,,10,27 King William Street,False,+19057693213,43.26,-79.87
The Cat 'N' Fiddle,3.8,2.0,14,174 John Street S,False,+19055253855,43.25,-79.87
Amigos,4.4,,16,109 George Street,False,+19052671532,43.26,-79.88
Papagayo Restaurant,4.0,2.0,10,246 King Street W,False,+19055250309,43.26,-79.88
The Ship,4.1,2.0,207,23 Augusta Street,False,+19055260792,43.25,-79.87
